Algorithm,Dataset Type,Input Size,Average Time (ms),Std Dev (ms)
Randomized Quicksort,Random,100,0.0901,0.0043
Deterministic Quicksort,Random,100,0.0586,0.0172
Randomized Quicksort,Sorted,100,0.0747,0.0052
Deterministic Quicksort,Sorted,100,0.169,0.0315
Randomized Quicksort,Reverse Sorted,100,0.0771,0.0049
Deterministic Quicksort,Reverse Sorted,100,0.1437,0.0049
Randomized Quicksort,Repeated Elements,100,0.082,0.0061
Deterministic Quicksort,Repeated Elements,100,0.0699,0.0175
Randomized Quicksort,Random,500,0.5012,0.0521
Deterministic Quicksort,Random,500,0.3412,0.0076
Randomized Quicksort,Sorted,500,0.44,0.0613
Deterministic Quicksort,Sorted,500,3.656,0.2318
Randomized Quicksort,Reverse Sorted,500,0.4154,0.0095
Deterministic Quicksort,Reverse Sorted,500,3.4853,0.3539
Randomized Quicksort,Repeated Elements,500,0.5191,0.1407
Deterministic Quicksort,Repeated Elements,500,0.4325,0.1298
Randomized Quicksort,Random,1000,1.086,0.0781
Deterministic Quicksort,Random,1000,0.8109,0.0981
Randomized Quicksort,Sorted,1000,1.0531,0.2621
Deterministic Quicksort,Sorted,1000,15.482,1.4534
Randomized Quicksort,Reverse Sorted,1000,1.3537,0.2437
Deterministic Quicksort,Reverse Sorted,1000,14.612,0.7564
Randomized Quicksort,Repeated Elements,1000,1.1197,0.1411
Deterministic Quicksort,Repeated Elements,1000,0.954,0.3991
Randomized Quicksort,Random,2000,2.5297,0.753
Deterministic Quicksort,Random,2000,2.7612,0.7839
Randomized Quicksort,Sorted,2000,4.6728,2.0825
Deterministic Quicksort,Sorted,2000,89.3036,14.2611
Randomized Quicksort,Reverse Sorted,2000,2.8297,0.3687
Deterministic Quicksort,Reverse Sorted,2000,83.6159,8.4784
Randomized Quicksort,Repeated Elements,2000,3.1007,0.4029
Deterministic Quicksort,Repeated Elements,2000,2.5088,0.697
Randomized Quicksort,Random,5000,8.7365,0.7007
Deterministic Quicksort,Random,5000,6.4698,0.2935
Randomized Quicksort,Sorted,5000,7.6334,0.9417
Deterministic Quicksort,Sorted,5000,495.0036,13.137
Randomized Quicksort,Reverse Sorted,5000,8.0949,1.6698
Deterministic Quicksort,Reverse Sorted,5000,530.1679,69.7501
Randomized Quicksort,Repeated Elements,5000,8.7254,1.2489
Deterministic Quicksort,Repeated Elements,5000,6.6118,1.8532
